reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
1,3,118,610,3,3,1.266111,151,0,,,,,,,,,,,,,,,,,
1,3,130,72,2,2,0.788056,300,0,,,,,,,,,,,,,,,,,
0,1,22,27,1,2,7.282778,270,0,,,,,,,,,,,,,,,,,
1,4,218,148,1,22,1225.749,183,1,,,,,,,,,,,,,,,,,
4,11,1358,159,4,2,455.9314,1393,6,,,,,,,,,,,,,,,,,
1,4,100,15,2,1,25.42611,202,0,,,,,,,,,,,,,,,,,
1,3,79,19,1,1,25.55528,207,0,,,,,,,,,,,,,,,,,
8,16,2579,46,2,1,993.2589,216,2,,,,,,,,,,,,,,,,,
6,12,739,72,3,7,1152.062,229,14,,,,,,,,,,,,,,,,,
4,9,494,197,5,3,169.7961,230,2,,,,,,,,,,,,,,,,,
2,2,161,549,1,1,16.78917,139,0,,,,,,,,,,,,,,,,,
0,1,22,550,1,6,0.0075,395,0,,,,,,,,,,,,,,,,,
5,8,1920,1863,5,10,70.99833,878,2,,,,,,,,,,,,,,,,,
